Time (s),Voltage (V)
0, 9.962
0.88,9.502
1.29,7.493
1.89,4.145
2.18,3.066
2.48,2.271
2.84,1.686
3.19,1.255
3.69,0.7998
4.03,0.5977
4.39,0.4513
4.68,0.3425
4.98,0.2616
5.29,0.2011
5.54,0.1559
5.98,0.122
6.29,0.0964
6.59,0.0771
6.99,0.0623
7.29,0.0511
7.99,0.0358
8.29,0.0305
8.99,0.0245
9.58,0.0194
10.35,0.0191
10.69,0.0187
12.38,0.0111
16.49,0.0074
20.29,0.0053
27.39,0.0033
