Time (s),Voltage (V)
0.29,0.5052
0.68,2.707
1.08,3.843
1.28,4.782
1.68,5.573
2.08,6.239
2.38,6.802
2.58,7.278
2.98,7.681
3.28,8.022
3.78,8.311
4.08,8.557
4.38,8.765
4.58,8.943
4.88,9.093
5.28,9.221
5.68,9.33
5.98,9.424
6.28,9.502
6.68,9.542
7.28,9.656
7.58,9.701
8.58,9.791
9.98,9.846
10.58,9.887
11.28,9.91
16.58,9.972
19.88,9.979
22.08,9.981
26.63,9.983
27.49,9.983
28.38,9.983
29.08,9.984
