Time (s),Voltage (V)
0.58,2.707
0.99,3.834
1.28,4.782
1.98,6.239
2.28,6.802
2.58,7.278
2.88,7.681
3.18,8.022
3.68,8.311
3.88,8.557
4.28,8.765
4.58,8.943
4.88,9.093
5.18,9.221
5.68,9.33
5.88,9.424
6.38,9.508
6.78,9.603
7.28,9.656
7.88,9.739
8.18,9.786
10.68,9.887
11.68,9.919
12.18,9.933
12.48,9.939
14.18,9.959
16.78,9.972
19.98,9.979
24.08,9.981
26.98,9.983
